box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2
1,97.0,Top,Down,Vertical-Down,98.76,84.34,2,Right,02:31:38.318115,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.37,,2,Acute,02:31:37.237832,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,Top,Down,Vertical-Down,99.13,78.86,2,Right,02:31:37.237832,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.27,,2,Acute,02:31:36.154141,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,Top,Down,Vertical-Down,98.63,82.17,2,Right,02:31:36.154141,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,96.17,,2,Acute,02:31:35.090155,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,Top,Down,Vertical-Down,98.66,77.89,2,Right,02:31:35.090155,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.39,,2,Acute,02:31:34.030621,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,,Top,Down,Vertical-Down,98.31,77.53,2,,02:31:34.030621,1.0,4.0,2,,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.16,,2,Acute,02:31:32.867457,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,90.0,Top,Down,Vertical-Down,98.66,87.11,2,Right,02:31:32.867457,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
