box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2,angle_gt_3,box_number_gt_3,arrow_direction_gt_3,arrow_position_gt_3,orientation_type_gt_3,angle_type_type_gt_3
2,76.0,,,,96.41,,3,Acute,02:55:25.725776,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,73.0,Top,Down,Vertical-Down,99.43,72.97,3,Acute,02:55:25.725776,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,112.0,,,,79.88,,3,Obtuse,02:55:24.645383,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,92.74,,3,Acute,02:55:24.645383,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,Top,Down,Vertical-Down,99.25,81.04,3,Right,02:55:24.645383,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,118.0,,,,85.25,,3,Obtuse,02:55:23.554054,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,94.22,,3,Acute,02:55:23.554054,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,77.0,Top,Down,Vertical-Down,99.17,65.12,3,Acute,02:55:23.554054,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,94.0,,,,74.04,,3,Right,02:55:22.470139,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.24,,3,Acute,02:55:22.470139,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,85.0,Top,Down,Vertical-Down,99.46,74.41,3,,02:55:22.470139,1.0,4.0,2,,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,107.0,,,,87.1,,3,Obtuse,02:55:21.393187,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,95.81,,3,Acute,02:55:21.393187,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,93.0,Top,Down,Vertical-Down,99.29,62.65,3,Right,02:55:21.393187,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,116.0,,,,81.72,,3,Obtuse,02:55:20.294133,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,92.72,,3,Acute,02:55:20.294133,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,93.0,Top,Down,Vertical-Down,99.45,80.38,3,Right,02:55:20.294133,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,105.0,,,,83.08,,3,Obtuse,02:55:19.155487,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,92.51,,3,Acute,02:55:19.155487,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,92.0,Side,Right,Horizontal-Right,99.38,72.26,3,Right,02:55:19.155487,2.0,2.0,1,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,113.0,,,,76.53,,3,Obtuse,02:55:18.068817,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,93.63,,3,Acute,02:55:18.068817,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,100.0,,,,99.26,70.05,3,,02:55:18.068817,,,3,,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,105.0,,,,86.5,,3,Obtuse,02:55:16.988275,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,94.23,,3,Acute,02:55:16.988275,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,89.0,Top,Down,Vertical-Down,99.51,81.96,3,Right,02:55:16.988275,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
