box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,121.0,,,,98.63,99.98,1,Obtuse,21:30:44.737630,,,3,1.0
1,132.0,,,,98.86,99.98,1,Straight,21:30:43.712558,,,3,3.0
1,129.0,,,,99.1,99.98,1,Obtuse,21:30:42.684259,,,3,1.0
1,130.0,,,,99.02,99.98,1,,21:30:41.646213,,,3,
1,127.0,,,,98.95,99.98,1,Obtuse,21:30:40.609280,,,3,1.0
1,124.0,,,,98.66,99.98,1,Obtuse,21:30:39.573737,,,3,1.0
1,127.0,,,,99.14,99.98,1,Obtuse,21:30:38.544274,,,3,1.0
1,126.0,Side,Left,Horizontal-Left,99.1,99.98,1,Obtuse,21:30:37.509782,2.0,1.0,0,1.0
1,128.0,,,,98.81,99.98,1,Obtuse,21:30:36.478644,,,3,1.0
1,125.0,,,,99.04,99.98,1,Obtuse,21:30:35.460081,,,3,1.0
1,126.0,,,,98.93,99.98,1,Obtuse,21:30:34.433975,,,3,1.0
1,123.0,,,,98.91,99.98,1,Obtuse,21:30:33.396279,,,3,1.0
1,123.0,Side,Left,Horizontal-Left,98.92,99.98,1,Obtuse,21:30:32.362670,2.0,1.0,0,1.0
1,129.0,,,,98.83,99.98,1,Obtuse,21:30:31.343667,,,3,1.0
1,124.0,,,,99.04,99.98,1,Obtuse,21:30:30.318036,,,3,1.0
1,131.0,,,,98.86,99.98,1,Straight,21:30:29.290739,,,3,3.0
1,126.0,,,,99.2,99.98,1,Obtuse,21:30:28.266495,,,3,1.0
1,130.0,,,,98.89,99.98,1,,21:30:27.241092,,,3,
1,129.0,,,,99.0,99.98,1,Obtuse,21:30:26.202699,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,99.09,99.98,1,Obtuse,21:30:25.167724,2.0,2.0,1,1.0
1,127.0,,,,99.06,99.98,1,Obtuse,21:30:24.134290,,,3,1.0
1,126.0,,,,99.13,99.98,1,Obtuse,21:30:23.101905,,,3,1.0
1,125.0,Side,Left,Horizontal-Left,98.98,99.98,1,Obtuse,21:30:22.079476,2.0,1.0,0,1.0
1,131.0,,,,98.82,99.98,1,Straight,21:30:21.052825,,,3,3.0
1,128.0,Side,Right,Horizontal-Right,98.93,99.98,1,Obtuse,21:30:20.028885,2.0,2.0,1,1.0
1,122.0,Side,Right,Horizontal-Right,98.88,99.98,1,Obtuse,21:30:19.002663,2.0,2.0,1,1.0
1,122.0,Side,Left,Horizontal-Left,99.01,99.98,1,Obtuse,21:30:17.976445,2.0,1.0,0,1.0
1,131.0,,,,98.95,99.98,1,Straight,21:30:16.937827,,,3,3.0
1,130.0,,,,98.89,99.98,1,,21:30:15.905447,,,3,
1,127.0,,,,98.99,99.98,1,Obtuse,21:30:14.878640,,,3,1.0
1,124.0,,,,98.99,99.99,1,Obtuse,21:30:13.850659,,,3,1.0
1,132.0,,,,99.06,99.98,1,Straight,21:30:12.808786,,,3,3.0
1,126.0,,,,98.97,99.98,1,Obtuse,21:30:11.776156,,,3,1.0
1,129.0,Side,Right,Horizontal-Right,98.7,99.98,1,Obtuse,21:30:10.752635,2.0,2.0,1,1.0
1,131.0,Side,Right,Horizontal-Right,99.12,99.98,1,Straight,21:30:09.724983,2.0,2.0,1,3.0
1,121.0,Side,Right,Horizontal-Right,98.94,99.98,1,Obtuse,21:30:08.686740,2.0,2.0,1,1.0
1,131.0,,,,98.93,99.98,1,Straight,21:30:07.660879,,,3,3.0
1,128.0,,,,99.1,99.98,1,Obtuse,21:30:06.626110,,,3,1.0
