box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,48.0,Side,Left,Horizontal-Left,98.53,99.36,1,Straight,20:29:56.157078,2.0,1.0,0,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.55,99.29,1,Acute,20:29:55.113018,2.0,2.0,1,4.0,47,1,1,2,21,3
1,50.0,,,,98.25,99.19,1,,20:29:54.066660,,,4,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.67,99.11,1,,20:29:53.020228,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,,,,98.54,99.46,1,Straight,20:29:51.986588,,,4,3.0,47,1,1,2,21,3
1,46.0,Side,Left,Horizontal-Left,98.57,98.64,1,Straight,20:29:50.942680,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.19,98.87,1,Straight,20:29:49.896987,2.0,2.0,1,3.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.3,99.4,1,Straight,20:29:48.854296,2.0,2.0,1,3.0,47,1,1,2,21,3
1,59.0,,,,98.68,99.41,1,Acute,20:29:47.804518,,,4,4.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.79,99.51,1,,20:29:46.772602,2.0,2.0,1,,47,1,1,2,21,3
1,60.0,Side,Left,Horizontal-Left,98.86,99.14,1,Acute,20:29:45.729123,2.0,1.0,0,4.0,47,1,1,2,21,3
1,49.0,,,,98.2,99.39,1,Straight,20:29:44.689917,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.13,99.45,1,Straight,20:29:43.637938,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.46,99.41,1,,20:29:42.594675,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,99.08,99.43,1,Straight,20:29:41.542668,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.21,99.07,1,Straight,20:29:40.508687,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.42,99.21,1,Straight,20:29:39.469992,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,,,,98.21,98.9,1,,20:29:38.425080,,,4,,47,1,1,2,21,3
1,49.0,,,,98.18,99.2,1,Straight,20:29:37.382663,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.95,99.39,1,,20:29:36.349079,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,99.07,98.55,1,Straight,20:29:35.305466,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.71,99.32,1,,20:29:34.276055,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.98,99.28,1,Straight,20:29:33.230018,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,,,,98.2,99.28,1,Straight,20:29:32.185336,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,99.32,99.21,1,Straight,20:29:31.150515,2.0,1.0,0,3.0,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,97.93,98.57,1,Acute,20:29:30.090642,2.0,1.0,0,4.0,47,1,1,2,21,3
1,48.0,,,,98.63,99.14,1,Straight,20:29:29.058677,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.79,99.41,1,,20:29:28.014659,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.22,98.31,1,Straight,20:29:26.965547,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Top,Right,Vertical-Right,98.85,99.37,1,,20:29:25.933040,1.0,2.0,3,,47,1,1,2,21,3
1,50.0,,,,98.73,99.16,1,,20:29:24.890709,,,4,,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,98.2,99.59,1,Straight,20:29:23.846056,2.0,2.0,1,3.0,47,1,1,2,21,3
1,47.0,Side,Left,Horizontal-Left,97.99,99.41,1,Straight,20:29:22.793597,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.29,99.18,1,,20:29:21.758670,2.0,1.0,0,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.54,99.26,1,,20:29:20.736368,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.21,98.96,1,,20:29:19.705139,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.34,99.29,1,,20:29:18.690660,2.0,2.0,1,,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,98.75,98.62,1,Acute,20:29:17.645520,2.0,1.0,0,4.0,47,1,1,2,21,3
1,49.0,,,,98.84,99.54,1,Straight,20:29:16.614704,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.0,99.08,1,,20:29:15.582700,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.95,99.15,1,,20:29:14.514629,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,99.1,99.44,1,,20:29:13.458617,2.0,1.0,0,,47,1,1,2,21,3
1,50.0,,,,98.8,99.33,1,,20:29:12.422665,,,4,,47,1,1,2,21,3
1,45.0,Side,Left,Horizontal-Left,98.55,98.24,1,Straight,20:29:11.403783,2.0,1.0,0,3.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.75,99.42,1,Straight,20:29:10.354109,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.69,99.46,1,Straight,20:29:09.321996,2.0,1.0,0,3.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.44,98.94,1,Straight,20:29:08.294223,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.35,99.46,1,,20:29:07.264463,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,,,,98.3,99.13,1,Straight,20:29:06.216796,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.29,99.2,1,,20:29:05.186659,2.0,2.0,1,,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,97.72,99.27,1,Straight,20:29:04.144181,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.02,98.79,1,,20:29:03.098696,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.68,99.31,1,Straight,20:29:02.064570,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,99.1,99.37,1,,20:29:01.018259,2.0,1.0,0,,47,1,1,2,21,3
